x	y	L8b2_24MART2014	L8b3_24MART2014	L8b4_24MART2014	L8b5_24MART2014	L8b2_25APR2014	L8b3_25APR2014	L8b4_25APR2014	L8b5_25APR2014	BG_24MART2014	BR_24MART2014	BNIR_24MART2014	GB_24MART2014	GR_24MART2014	GNIR_24MART2014	RB_24MART2014	RG_24MART2014	RNIR_24MART2014	NIRB_24MART2014	NIRG_24MART2014	NIRR_24MART2014	BG_25APR2014	BR_25APR2014	BNIR_25APR2014	GB_25APR2014	GR_25APR2014	GNIR_25APR2014	RB_25APR2014	RG_25APR2014	RNIR_25APR2014	NIRB_25APR2014	NIRG_25APR2014	NIRR_25APR2014	DEM	CScurv	CI	FA	TWI	LSF	CNBL	VDCN	VD	SLP	MRVBF	MRRTF	L8b2_mean	L8b3_mean	L8b4_mean	L8b5_mean	BG_mean	BR_mean	BNIR_mean	GB_mean	GR_mean	GNIR_mean	RB_mean	RG_mean	RNIR_mean	NIRB_mean	NIRG_mean	NIRR_mean
"11"	566100	5592270	0.0485	0.0716	0.0964	0.1647	0.0537	0.0786	0.0992	0.1678	0.677374	0.503112	0.294475	1.476289	0.742739	0.43473	1.987629	1.346369	0.585307	3.395876	2.300279	1.708506	0.683206	0.541331	0.320024	1.463687	0.792339	0.468415	1.8473	1.262087	0.59118	3.124767	2.13486	1.691532	291.056763	-0.000444	-3.52	17683.835938	8.805161	0.788352	209.712524	81.344238	3.471788	3.4104	1.430155	0.199576	0.0511	0.0751	0.0978	0.16625	0.680426098535286	0.522494887525562	0.307368421052632	1.46966731898239	0.767893660531697	0.451729323308271	1.91389432485323	1.30226364846871	0.588270676691729	3.25342465753425	2.21371504660453	1.69989775051125
"12"	566130	5592270	0.0454	0.0741	0.1012	0.1748	0.0491	0.0775	0.0942	0.1956	0.612686	0.448617	0.259725	1.632159	0.732213	0.423913	2.229075	1.365722	0.578947	3.85022	2.358974	1.727273	0.633548	0.521231	0.251022	1.578411	0.822718	0.396217	1.918534	1.215484	0.481595	3.983707	2.523871	2.076433	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.04725	0.0758	0.0977	0.1852	0.62335092348285	0.483623336745138	0.255129589632829	1.6042328042328	0.775844421699079	0.409287257019438	2.06772486772487	1.28891820580475	0.527537796976242	3.91957671957672	2.44327176781003	1.89559877175026
"13"	566460	5592270	0.0373	0.0497	0.0618	0.0968	0.0423	0.057	0.0665	0.1223	0.750503	0.60356	0.385331	1.33244	0.804207	0.51343	1.656836	1.243461	0.63843	2.595174	1.947686	1.566343	0.742105	0.63609	0.345871	1.347518	0.857143	0.466067	1.572104	1.166667	0.543745	2.891253	2.145614	1.839098	261.053223	-0.000251	-2.644484	18424.447266	8.211986	1.51453	209.45784	51.595387	29.263475	5.698905	0.551626	0.178352	0.0398	0.05335	0.06415	0.10955	0.74601686972821	0.620420888542479	0.363304427202191	1.34045226130653	0.831644583008574	0.486992240985851	1.61180904522613	1.20243673851921	0.585577361935189	2.75251256281407	2.05342080599813	1.70771628994544
"14"	566490	5592270	0.031	0.0406	0.0504	0.0779	0.0393	0.0509	0.0605	0.0981	0.763547	0.615079	0.397946	1.309677	0.805556	0.521181	1.625806	1.241379	0.646983	2.512903	1.918719	1.545635	0.772102	0.649587	0.400612	1.295165	0.841322	0.518858	1.53944	1.188605	0.616718	2.496183	1.927308	1.621488	259.677917	-8.4e-05	-2.025963	14552.729492	7.961976	1.372086	209.44635	50.231567	30.497545	5.509998	0.46206	0.272522	0.03515	0.04575	0.05545	0.088	0.768306010928962	0.63390441839495	0.399431818181818	1.30156472261735	0.825067628494139	0.519886363636364	1.57752489331437	1.2120218579235	0.630113636363636	2.50355618776671	1.92349726775956	1.58701532912534
"15"	566520	5592270	0.0316	0.0417	0.0529	0.082	0.0391	0.0516	0.0615	0.0991	0.757794	0.597353	0.385366	1.31962	0.78828	0.508537	1.674051	1.268585	0.645122	2.594937	1.966427	1.550094	0.757752	0.635772	0.394551	1.319693	0.839024	0.520686	1.57289	1.19186	0.620585	2.534527	1.920543	1.611382	258.284424	0.00025	-0.181502	10289.938477	7.62151	1.212606	209.434326	48.850094	31.717436	5.310162	0.349564	0.421461	0.03535	0.04665	0.0572	0.09055	0.757770632368703	0.618006993006993	0.390392048591938	1.31966053748232	0.815559440559441	0.515184980673661	1.61810466760962	1.22615219721329	0.631695196024296	2.56152758132956	1.94105037513398	1.58304195804196
"16"	566550	5592270	0.0332	0.0436	0.0544	0.0861	0.0422	0.0523	0.0611	0.1016	0.761468	0.610294	0.385598	1.313253	0.801471	0.506388	1.638554	1.247706	0.631823	2.593374	1.974771	1.582721	0.806883	0.690671	0.415354	1.239336	0.855974	0.514764	1.447867	1.16826	0.601378	2.407583	1.942639	1.662848	256.770691	0.000524	1.486485	8098.703125	7.411584	1.094401	209.423096	47.347599	33.065639	5.104095	0.273134	0.552328	0.0377	0.04795	0.05775	0.09385	0.786235662148071	0.652813852813853	0.401704848161961	1.27188328912467	0.83030303030303	0.51092168353756	1.53183023872679	1.2043795620438	0.615343633457645	2.4893899204244	1.95724713242961	1.62510822510822
"17"	566580	5592270	0.0304	0.0394	0.0501	0.079	0.0419	0.0542	0.0651	0.1052	0.771574	0.606786	0.38481	1.296053	0.786427	0.498734	1.648026	1.271574	0.634177	2.598684	2.005076	1.576846	0.773063	0.643625	0.398289	1.293556	0.832565	0.515209	1.553699	1.201107	0.618821	2.51074	1.940959	1.615975	255.141617	0.000675	2.926887	7093.398926	7.25545	0.974708	209.412567	45.729053	34.536621	4.827099	0.250653	0.619296	0.03615	0.0468	0.0576	0.0921	0.772435897435898	0.627604166666667	0.392508143322476	1.29460580912863	0.8125	0.50814332247557	1.59336099585062	1.23076923076923	0.625407166123778	2.54771784232365	1.96794871794872	1.59895833333333
"18"	566610	5592270	0.0282	0.0351	0.0432	0.0735	0.0412	0.0534	0.0602	0.1104	0.803419	0.652778	0.383673	1.244681	0.8125	0.477551	1.531915	1.230769	0.587755	2.606383	2.094017	1.701389	0.771536	0.684385	0.373188	1.296116	0.887043	0.483696	1.461165	1.127341	0.54529	2.679612	2.067416	1.833887	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.0347	0.04425	0.0517	0.09195	0.784180790960452	0.671179883945841	0.377379010331702	1.27521613832853	0.855899419729207	0.481239804241436	1.48991354466859	1.1683615819209	0.56226209896683	2.64985590778098	2.07796610169492	1.77852998065764
"19"	565950	5592300	0.0424	0.0581	0.0741	0.132	0.0478	0.0617	0.0747	0.1337	0.729776	0.5722	0.321212	1.370283	0.784076	0.440152	1.747642	1.275387	0.561364	3.113208	2.271945	1.781376	0.774716	0.639893	0.357517	1.290795	0.825971	0.461481	1.562761	1.210697	0.558714	2.797071	2.166937	1.789826	298.794708	-4.9e-05	-1.188961	7518.899414	8.482398	0.275902	209.872025	88.922707	0	1.760562	1.611185	2.75802	0.0451	0.0599	0.0744	0.13285	0.752921535893155	0.606182795698925	0.339480617237486	1.32815964523282	0.80510752688172	0.450884456153557	1.64966740576497	1.24207011686144	0.560030109145653	2.94567627494457	2.21786310517529	1.78561827956989
"20"	565980	5592300	0.0419	0.0579	0.0758	0.1411	0.0509	0.0682	0.0847	0.1471	0.723661	0.55277	0.296953	1.381862	0.763852	0.410347	1.809069	1.309154	0.537208	3.367542	2.43696	1.861478	0.746334	0.600945	0.346023	1.339882	0.805195	0.46363	1.664047	1.241935	0.575799	2.88998	2.156892	1.736718	297.953033	-8.9e-05	-1.563604	8504.912109	8.334369	0.399345	209.845673	88.107353	0.070611	2.299331	1.582001	1.305952	0.0464	0.06305	0.08025	0.1441	0.735923869944489	0.578193146417445	0.321998612074948	1.35883620689655	0.785669781931464	0.437543372657876	1.72952586206897	1.27279936558287	0.556904927133935	3.10560344827586	2.28548770816812	1.79563862928349
