x	y	S2_B02_20160409	S2_B03_20160409	S2_B04_20160409	S2_B08_20160409	BG_20160409	BR_20160409	BNIR_20160409	GB_20160409	GR_20160409	GNIR_20160409	RB_20160409	RG_20160409	RNIR_20160409	NIRB_20160409	NIRG_20160409	NIRR_20160409	DEM	SLP	CS_curv	Long_curv	CI	FA	TWI	LSF	CNBL	VDCN	VD	RSP	MRVBF	MRRTF
566015.000000	5592245.000000	0.043300	0.052500	0.082800	0.137000	0.824762	0.522947	0.316058	1.212471	0.634058	0.383212	1.912240	1.577143	0.604380	3.163972	2.609524	1.654589	295.462341	3.460674	-0.000929	0.000394	-2.591070	4910.333496	8.465750	0.753026	239.948807	55.513542	0.623093	0.988898	1.295833	0.301623
566025.000000	5592245.000000	0.040600	0.049600	0.079300	0.132200	0.818548	0.511980	0.307110	1.221675	0.625473	0.375189	1.953202	1.598790	0.599849	3.256158	2.665323	1.667087	294.856079	3.538248	-0.001014	0.000154	-2.725403	5374.758301	8.533494	0.789020	239.685715	55.170376	0.822796	0.985302	1.236316	0.299017
566035.000000	5592245.000000	0.039200	0.050800	0.074700	0.127300	0.771654	0.524766	0.307934	1.295918	0.680054	0.399057	1.905612	1.470472	0.586803	3.247449	2.505905	1.704150	294.242584	3.548732	-0.001071	-0.000112	-2.847012	5886.937012	8.621239	0.806513	239.426270	54.816322	1.031780	0.981522	1.229433	0.298787
566045.000000	5592245.000000	0.039800	0.049300	0.075400	0.128400	0.807302	0.527852	0.309969	1.238693	0.653846	0.383956	1.894472	1.529412	0.587227	3.226130	2.604463	1.702918	293.634430	3.488908	-0.001098	-0.000347	-2.956527	6419.309570	8.724397	0.802538	239.171814	54.462624	1.238407	0.977764	1.288400	0.300025
566055.000000	5592245.000000	0.039200	0.051800	0.074500	0.128400	0.756757	0.526175	0.305296	1.321429	0.695302	0.403427	1.900510	1.438224	0.580218	3.275510	2.478764	1.723490	293.161774	3.392478	-0.001061	-0.000460	-2.912874	6648.109863	8.788797	0.779610	238.950409	54.211380	1.381424	0.975150	1.350438	0.310539
566065.000000	5592245.000000	0.039600	0.049900	0.075500	0.129100	0.793587	0.524503	0.306739	1.260101	0.660927	0.386522	1.906566	1.513026	0.584818	3.260101	2.587174	1.709934	292.548889	3.205081	-0.000956	-0.000467	-2.728539	6715.563477	8.857498	0.725734	238.638397	53.910484	1.536964	0.972279	1.428497	0.328730
566485.000000	5592245.000000	0.028400	0.031800	0.042400	0.086600	0.893082	0.669811	0.327945	1.119718	0.750000	0.367206	1.492957	1.333333	0.489607	3.049295	2.723270	2.042453	258.368896	6.108547	0.000208	0.000739	0.080742	3838.548096	7.643006	1.496936	230.847260	27.521637	23.503227	0.539377	0.376239	0.262068
566495.000000	5592245.000000	0.028100	0.033400	0.041700	0.086300	0.841317	0.673861	0.325608	1.188612	0.800959	0.387022	1.483986	1.248503	0.483198	3.071175	2.583833	2.069544	257.540771	5.917443	0.000245	0.000663	0.154797	3144.608887	7.480815	1.381476	230.693497	26.847290	24.062735	0.527312	0.369172	0.296843
566505.000000	5592245.000000	0.029800	0.035800	0.046100	0.091600	0.832402	0.646421	0.325327	1.201342	0.776573	0.390830	1.546980	1.287710	0.503275	3.073826	2.558659	1.986985	257.031067	5.717470	0.000263	0.000667	0.176854	2866.429199	7.422596	1.297266	230.553452	26.477634	24.381393	0.520572	0.402332	0.295333
566515.000000	5592245.000000	0.032000	0.038300	0.051300	0.094600	0.835509	0.623782	0.338266	1.196875	0.746589	0.404863	1.603125	1.339426	0.542283	2.956250	2.469974	1.844054	256.629486	5.434653	0.000314	0.000699	0.244500	2602.933350	7.378709	1.191788	230.307251	26.322247	24.553802	0.517345	0.430369	0.309209
566525.000000	5592245.000000	0.032900	0.038100	0.054000	0.099500	0.863517	0.609259	0.330653	1.158055	0.705556	0.382915	1.641338	1.417323	0.542714	3.024316	2.611548	1.842593	256.253693	5.157340	0.000395	0.000804	0.348242	2416.495361	7.357621	1.097312	230.052338	26.201363	24.703552	0.514678	0.451305	0.325603
566535.000000	5592245.000000	0.033700	0.039800	0.054100	0.103000	0.846734	0.622921	0.327184	1.181009	0.735675	0.386408	1.605341	1.359296	0.525243	3.056380	2.587940	1.903882	255.899124	4.953116	0.000554	0.000966	0.567265	2250.942871	7.327920	1.026804	229.787979	26.111149	24.835579	0.512487	0.458761	0.343130
566545.000000	5592245.000000	0.033800	0.040200	0.053400	0.100400	0.840796	0.632959	0.336653	1.189349	0.752809	0.400398	1.579882	1.328358	0.531873	2.970414	2.497513	1.880150	255.545456	4.893657	0.000775	0.001129	0.883026	2095.571777	7.269451	0.996668	229.515839	26.029613	24.969650	0.510361	0.433463	0.377419
566555.000000	5592245.000000	0.033400	0.038800	0.052500	0.101700	0.860825	0.636190	0.328417	1.161677	0.739048	0.381514	1.571856	1.353093	0.516224	3.044910	2.621134	1.937143	255.164505	4.995882	0.000980	0.001218	1.181710	1947.476440	7.175837	1.008941	229.237015	25.927486	25.133736	0.507742	0.399961	0.403950
566565.000000	5592245.000000	0.033800	0.038700	0.052300	0.104000	0.873385	0.646272	0.325000	1.144970	0.739962	0.372115	1.547337	1.351421	0.502885	3.076923	2.687339	1.988528	254.733490	5.176558	0.001111	0.001195	1.360846	1806.430664	7.064370	1.040520	228.950729	25.782757	25.350983	0.504192	0.400953	0.383753
566575.000000	5592245.000000	0.030900	0.037400	0.050600	0.096400	0.826203	0.610672	0.320539	1.210356	0.739130	0.387967	1.637540	1.352941	0.524896	3.119741	2.577540	1.905138	254.455811	5.240608	0.001165	0.001068	1.426043	1708.003052	6.995364	1.045250	228.650452	25.805359	25.450739	0.503434	0.395855	0.385200
565965.000000	5592255.000000	0.047900	0.059800	0.092800	0.158800	0.801003	0.516164	0.301637	1.248434	0.644397	0.376574	1.937369	1.551839	0.584383	3.315240	2.655519	1.711207	298.054352	2.353232	-0.000300	0.000775	-1.479279	3143.181885	8.407784	0.417877	241.183136	56.871201	0.019206	0.999662	1.637223	0.344953
